89, 22, 95, 240
89, 22, 96, 224
89, 22, 96, 225
89, 22, 93, 222
89, 22, 96, 224
140, 177, 197, 535
139, 177, 196, 531
140, 177, 195, 530
89, 22, 93, 222
89, 22, 94, 223
88, 22, 94, 222
89, 22, 97, 225
90, 22, 97, 227
140, 177, 198, 533
140, 177, 196, 532
140, 177, 196, 531
142, 177, 195, 532
139, 177, 197, 532
242, 859, 837, 1965
243, 889, 785, 1935
240, 865, 426, 1550
241, 876, 554, 1689
241, 749, 669, 1677
444, 2536, 2202, 5212
445, 2467, 2113, 5044
444, 2430, 2092, 4985
444, 2418, 2106, 4987
444, 2407, 2548, 5418
778, 9592, 7318, 17718
777, 9668, 7510, 17974
798, 9672, 7505, 17994
822, 9593, 7794, 18228
772, 9520, 7893, 18204
1236, 38883, 28987, 69127
1182, 38793, 29021, 69014
1157, 38768, 29498, 69441
1182, 38845, 28916, 68963
1181, 38881, 29262, 69342
1945, 157291, 113204, 272465
155, 22, 131, 384
159, 22, 127, 384
82, 22, 410, 672
159, 22, 125, 363
153, 22, 133, 376
209, 177, 210, 665
216, 177, 225, 658
216, 177, 434, 894
211, 177, 232, 664
290, 177, 459, 981
316, 897, 969, 2259
320, 772, 738, 1901
317, 677, 1015, 2080
316, 862, 996, 2232
320, 867, 1125, 2376
516, 2378, 3369, 6342
524, 2449, 2991, 6038
524, 2518, 3124, 6242
430, 2323, 3246, 6159
524, 2497, 3189, 6279
878, 9571, 12080, 22602
902, 9543, 12875, 23387
858, 9550, 12619, 23101
944, 9589, 12672, 23276
913, 9579, 12170, 22761
1325, 38857, 47582, 87838
1273, 38781, 48727, 88853
1274, 38945, 47319, 87598
1389, 38926, 48834, 89226
1325, 38715, 48501, 88612
2020, 156520, 193898, 352517
2082, 157613, 193858, 353632
2018, 156490, 200416, 358995
2090, 156365, 194410, 352940
1970, 156079, 193598, 351725
132, 15, 428, 735
209, 15, 131, 432
210, 15, 117, 414
209, 15, 127, 423
216, 15, 125, 429
791, 49, 533, 1446
896, 98, 228, 1301
773, 49, 298, 1195
796, 49, 290, 1205
838, 49, 558, 1518
2051, 193, 1129, 3446
1974, 194, 1406, 3639
2021, 194, 1153, 3434
2059, 194, 1206, 3533
1944, 194, 1208, 3414
12737, 1541, 9525, 23874
12636, 1540, 9730, 23984
12505, 1538, 9409, 23529
12709, 1535, 9534, 23857
12577, 1537, 9707, 23899
130609, 12337, 40642, 183666
131237, 12439, 41053, 184799
132027, 12501, 40196, 184791
131423, 12360, 40090, 183941
130797, 12312, 40521, 183699
292, 168, 231, 766
292, 168, 241, 768
213, 168, 525, 1067
292, 168, 247, 776
296, 170, 219, 759
474, 725, 1508, 2781
396, 817, 1245, 2638
475, 887, 1351, 2788
295, 169, 247, 779
286, 168, 262, 783
213, 168, 542, 1075
291, 169, 233, 764
291, 168, 247, 777
480, 717, 1204, 2470
395, 679, 935, 2168
474, 853, 1424, 2826
485, 851, 1073, 2479
398, 799, 1191, 2572
825, 3988, 5693, 10582
805, 4008, 5835, 10720
812, 3997, 5423, 10307
738, 3867, 5284, 10045
660, 3860, 5506, 10167
1214, 17968, 23372, 42629
1091, 18235, 23031, 42430
1079, 17971, 24119, 43289
1185, 18018, 24251, 43530
1062, 18003, 23964, 43182
1700, 75229, 96713, 173712
1931, 75479, 96511, 173994
1692, 75212, 96114, 173092
1692, 75544, 96742, 174051
1745, 75650, 99135, 176605
3073, 305743, 388528, 697421
3127, 306444, 403321, 713049
3106, 307366, 396104, 706639
2955, 306536, 388221, 697781
3057, 306145, 390200, 699561
5441, 1233887, 1563248, 2802735
5671, 1237242, 1574340, 2817326
5729, 1242795, 1575714, 2824316
